inquantity,inquantitynor,InpH,inphnor,InCOD,incodnor,inbod,inbod5nor,InAmmoniaN,inammonianor,InSS,InSSNor,InPhosphate,InPhosphateNor
414.48,0.37,7.57,0.35,205,0.67,82.1,0.7,22,0.53,126,0.76,3.3,0.81
317.18,0.66,7.4,0.58,290,0.39,85.5,0.67,20.8,0.59,162,0.65,3.45,0.79
377.67,0.48,7.18,0.89,223,0.61,77.5,0.74,21.1,0.57,122,0.77,2.69,0.89
351.56,0.55,7.46,0.5,253,0.51,94.7,0.59,33.1,0,180,0.59,4.01,0.71
344.82,0.58,7.58,0.33,254,0.51,57.5,0.93,26.4,0.32,188,0.57,3.43,0.79
347.3,0.57,7.28,0.75,238,0.56,86.5,0.66,21,0.58,150,0.68,3.81,0.74
329.94,0.62,7.37,0.63,196,0.7,123,0.33,15.7,0.83,112,0.8,3.22,0.82
359.6,0.53,7.31,0.71,183,0.74,65.1,0.86,21,0.58,172,0.62,3.82,0.73
316.14,0.66,7.34,0.67,244,0.54,83.5,0.69,26.9,0.3,128,0.75,3.61,0.76
342.36,0.58,7.22,0.83,259,0.49,84.1,0.68,27.1,0.29,148,0.69,2.98,0.85
366.95,0.51,7.56,0.36,215,0.63,90.9,0.62,18.6,0.69,168,0.63,3.29,0.81
409.11,0.38,7.55,0.38,213,0.64,88.5,0.64,21.5,0.55,142,0.71,3.13,0.83
339.07,0.59,7.59,0.32,309,0.33,70.1,0.81,26.1,0.33,162,0.65,5.57,0.49
360.07,0.53,7.62,0.28,236,0.57,80.3,0.72,20.9,0.58,196,0.54,5.37,0.51
369.37,0.5,7.61,0.29,265,0.47,68.1,0.83,25.3,0.37,174,0.61,5.22,0.54
354.38,0.55,7.53,0.4,275,0.44,106,0.48,18.4,0.7,180,0.59,6.12,0.41
334.8,0.61,7.5,0.44,292,0.38,95.5,0.58,28.4,0.22,104,0.82,6.02,0.42
337.14,0.6,7.56,0.36,268,0.46,84.9,0.68,25.4,0.37,170,0.62,4.18,0.68
503.04,0.1,7.6,0.31,217,0.63,66.1,0.85,21.2,0.57,160,0.65,3.06,0.84
347.98,0.57,7.71,0.15,370,0.13,67.5,0.84,26.9,0.3,148,0.69,6.02,0.42
355.26,0.54,7.63,0.26,188,0.72,88.5,0.64,15.9,0.82,156,0.66,2.74,0.89
354.8,0.54,7.32,0.69,182,0.74,68.5,0.83,22.7,0.5,162,0.65,3.67,0.75
364.22,0.52,7.6,0.31,191,0.71,76,0.76,22.4,0.51,80,0.9,2.87,0.87
332.16,0.61,7.45,0.51,204,0.67,92.3,0.61,26,0.34,184,0.58,3.91,0.72
334.61,0.61,7.61,0.29,237,0.56,87.1,0.66,23.7,0.45,134,0.73,4.83,0.59
336.28,0.6,7.58,0.33,160,0.82,97.9,0.56,18.4,0.7,117,0.78,4.17,0.68
329.84,0.62,7.62,0.28,312,0.32,105,0.49,27.7,0.26,134,0.73,5.04,0.56
416.99,0.36,7.31,0.71,225,0.6,70.5,0.81,26.4,0.32,118,0.78,2.92,0.86
352.89,0.55,7.6,0.31,302,0.35,108,0.47,23.2,0.47,194,0.55,5.64,0.48
335.7,0.6,7.56,0.36,248,0.53,88.1,0.65,25.4,0.37,162,0.65,3.93,0.72
473.38,0.19,7.48,0.47,199,0.69,70.5,0.81,18.4,0.7,100,0.84,3,0.85
488.44,0.14,7.58,0.33,241,0.55,51.7,0.98,19.6,0.64,136,0.73,2.89,0.87
367.31,0.51,7.5,0.44,320,0.29,63.9,0.87,21.6,0.55,224,0.46,5.7,0.47
472.89,0.19,7.45,0.51,196,0.7,85.3,0.67,18,0.72,178,0.6,2.93,0.86
342.05,0.58,7.45,0.51,214,0.64,82.1,0.7,21.6,0.55,92,0.86,2.57,0.91
342.59,0.58,7.56,0.36,328,0.26,101,0.53,29.1,0.19,206,0.51,6.5,0.35
338.32,0.59,7.62,0.28,259,0.49,80.7,0.72,27.2,0.28,144,0.7,4.73,0.6
368.01,0.51,7.52,0.42,218,0.63,74.7,0.77,19.5,0.65,108,0.81,3.05,0.84
371.57,0.49,7.61,0.29,177,0.76,85.3,0.67,15.4,0.84,94,0.85,4.4,0.65
343.49,0.58,7.1,1,236,0.57,81.7,0.71,23.7,0.45,144,0.7,3.72,0.75
330.94,0.62,7.51,0.43,247,0.53,118,0.37,22.9,0.49,180,0.59,4.24,0.67
343.98,0.58,7.58,0.33,175,0.77,75.8,0.76,22.2,0.52,154,0.67,2.91,0.86
356.01,0.54,7.55,0.38,251,0.52,119,0.37,19.4,0.65,178,0.6,5.67,0.47
349.04,0.56,7.2,0.86,242,0.55,78.1,0.74,22,0.53,142,0.71,3.46,0.78
356.3,0.54,7.56,0.36,259,0.49,87.7,0.65,20.2,0.61,126,0.76,4.45,0.64
331.52,0.62,7.49,0.46,259,0.49,92.7,0.61,21.1,0.57,140,0.71,4.52,0.63
309.68,0.68,7.45,0.51,306,0.34,83.5,0.69,26.5,0.31,176,0.6,3.79,0.74
354.86,0.54,7.48,0.47,205,0.67,92.1,0.61,24.4,0.41,152,0.68,3.09,0.84
418.03,0.35,7.4,0.58,166,0.8,81.6,0.71,21.5,0.55,138,0.72,3.1,0.84
344.4,0.58,7.5,0.44,246,0.53,79.7,0.72,23.5,0.46,132,0.74,3.16,0.83
342,0.58,7.39,0.6,271,0.45,77.5,0.74,24.6,0.4,170,0.62,3.35,0.8
316.74,0.66,7.62,0.28,297,0.37,152,0.06,22.4,0.51,180,0.59,7.68,0.19
273.13,0.79,7.51,0.43,171,0.78,101,0.53,22.7,0.5,154,0.67,3.56,0.77
346.86,0.57,7.35,0.65,159,0.82,76.4,0.75,22.8,0.49,142,0.71,3.1,0.84
348.66,0.56,7.11,0.99,214,0.64,93.7,0.6,23.2,0.47,124,0.76,3.35,0.8
347.63,0.57,7.62,0.28,309,0.33,85.1,0.67,26.4,0.32,160,0.65,5.95,0.43
530.85,0.01,7.27,0.76,217,0.63,81.5,0.71,17.6,0.74,162,0.65,3.02,0.85
334.32,0.61,7.6,0.31,200,0.68,102,0.52,29.4,0.18,102,0.83,3.56,0.77
328.52,0.62,7.4,0.58,306,0.34,105,0.49,27.2,0.28,154,0.67,3.24,0.82
349.37,0.56,7.52,0.42,224,0.61,101,0.53,22.1,0.52,142,0.71,4.25,0.67
350.02,0.56,7.49,0.46,194,0.7,79.3,0.73,23.3,0.47,102,0.83,2.84,0.87
504.61,0.09,7.53,0.4,153,0.84,64.5,0.86,18.5,0.7,178,0.6,2.99,0.85
272.9,0.79,7.48,0.47,203,0.67,106,0.48,24.4,0.41,158,0.66,3.64,0.76
311.25,0.68,7.65,0.24,254,0.51,124,0.32,21.2,0.57,159,0.66,7.32,0.24
325.6,0.63,7.41,0.57,272,0.45,105,0.49,24.4,0.41,194,0.55,3.08,0.84
342.59,0.58,7.62,0.28,279,0.42,74.5,0.77,24.9,0.39,172,0.62,5.49,0.5
346.04,0.57,7.6,0.31,281,0.42,76.9,0.75,23.7,0.45,160,0.65,5.53,0.49
535.8,0,7.3,0.72,213,0.64,64.6,0.86,20.4,0.6,142,0.71,3.46,0.78
352.79,0.55,7.6,0.31,214,0.64,120,0.36,23.6,0.45,144,0.7,3.5,0.78
335.37,0.6,7.67,0.21,333,0.25,85.7,0.67,25.4,0.37,228,0.45,5.78,0.46
355.35,0.54,7.5,0.44,218,0.63,70.5,0.81,22.9,0.49,180,0.59,3.82,0.73
338.22,0.59,7.61,0.29,342,0.22,67.7,0.83,24.2,0.42,168,0.63,4.79,0.6
356.61,0.54,7.6,0.31,259,0.49,99.1,0.55,22.7,0.5,164,0.64,5.43,0.51
344.23,0.58,7.53,0.4,267,0.46,92.7,0.61,26.7,0.3,182,0.59,3.95,0.72
406.61,0.39,7.54,0.39,142,0.88,78.1,0.74,20.9,0.58,132,0.74,3.25,0.81
341.58,0.58,7.56,0.36,252,0.51,85.5,0.67,23.1,0.48,174,0.61,3.79,0.74
361.32,0.53,7.37,0.63,223,0.61,79.1,0.73,18.1,0.71,114,0.79,2.91,0.86
345.37,0.57,7.3,0.72,199,0.69,66.5,0.84,22.5,0.5,152,0.68,3.67,0.75
369.25,0.5,7.49,0.46,228,0.59,60.7,0.9,19,0.67,112,0.8,2.95,0.86
348.16,0.56,7.13,0.96,242,0.55,88.5,0.64,23.5,0.46,134,0.73,3.43,0.79
335.98,0.6,7.54,0.39,345,0.21,123,0.33,24,0.43,182,0.59,5.32,0.52
345.14,0.57,7.6,0.31,218,0.63,63.7,0.87,25.6,0.36,124,0.76,4.54,0.63
